id_conf,run_id,mutation,neighbor,H,stop,nb solutions,hv,spacing,duration_batch
43,1,0.4,0.15,15,100,80,0.5908700336919979,0.09606376629578499,46.008654069900516
43,2,0.4,0.15,15,100,40,0.5601036044067839,0.13002092713869523,46.008654069900516
43,3,0.4,0.15,15,100,102,0.5986760603004365,0.08381725485360479,46.008654069900516
43,4,0.4,0.15,15,100,54,0.5670160843980685,0.10962302990444195,46.008654069900516
44,0,0.4,0.2,15,100,72,0.5888732307224204,0.09644216819971786,36.12254366874695
44,1,0.4,0.2,15,100,70,0.6025800808686909,0.12052205725147083,36.12254366874695
44,2,0.4,0.2,15,100,62,0.5883798081344642,0.11644332337097449,36.12254366874695
44,3,0.4,0.2,15,100,47,0.5886196290491985,0.14697532933441107,36.12254366874695
44,4,0.4,0.2,15,100,85,0.5790543207267697,0.1086543406973454,36.12254366874695
45,0,0.5,0.05,15,100,83,0.5727577005000712,0.10367204625685456,35.6212414264679
45,1,0.5,0.05,15,100,61,0.5864917505649379,0.11804696500293235,35.6212414264679
45,2,0.5,0.05,15,100,54,0.5696923732828562,0.11730666960759194,35.6212414264679
45,3,0.5,0.05,15,100,54,0.5765057587367323,0.13071823337497104,35.6212414264679
45,4,0.5,0.05,15,100,67,0.5875914697585082,0.0927248602685026,35.6212414264679
48,0,0.5,0.2,15,100,64,0.5904131374026248,0.1041986358170565,33.24790258407593
48,1,0.5,0.2,15,100,57,0.5915476133606601,0.12154744025768063,33.24790258407593
48,2,0.5,0.2,15,100,43,0.5565974103731673,0.16577385837429312,33.24790258407593
48,3,0.5,0.2,15,100,62,0.5848685121997222,0.10174144554909809,33.24790258407593
48,4,0.5,0.2,15,100,53,0.5791823448486266,0.1316718825529649,33.24790258407593
46,0,0.5,0.1,15,100,62,0.5845110302732477,0.09159411888681346,35.358875608444215
46,1,0.5,0.1,15,100,44,0.5899421605449625,0.10200157809198244,35.358875608444215
46,2,0.5,0.1,15,100,72,0.5712843886643237,0.12027523335705363,35.358875608444215
46,3,0.5,0.1,15,100,77,0.5831892953549969,0.09660269658872746,35.358875608444215
46,4,0.5,0.1,15,100,47,0.588484570328095,0.09989273949117534,35.358875608444215
47,0,0.5,0.15,15,100,81,0.5871994469486342,0.12050666185398833,35.772047662734984
47,1,0.5,0.15,15,100,72,0.5958209161140093,0.1119593909659506,35.772047662734984
47,2,0.5,0.15,15,100,84,0.5956038665737767,0.10741300925156463,35.772047662734984
47,3,0.5,0.15,15,100,77,0.6011517484929021,0.09404538727305022,35.772047662734984
47,4,0.5,0.15,15,100,93,0.5911406004007872,0.09223798217885507,35.772047662734984
50,0,0.1,0.1,25,100,93,0.5756317659050162,0.0861146747049427,47.54545631408691
50,1,0.1,0.1,25,100,132,0.556201477307074,0.07597477393569271,47.54545631408691
50,2,0.1,0.1,25,100,110,0.5713729114815554,0.08899535604492555,47.54545631408691
50,3,0.1,0.1,25,100,86,0.568189689443474,0.13225015424061998,47.54545631408691
50,4,0.1,0.1,25,100,108,0.5736921715749315,0.0825732433990111,47.54545631408691
54,0,0.2,0.1,25,100,67,0.5953629167366488,0.12804193498288938,62.62939767837524
54,1,0.2,0.1,25,100,70,0.5827118297683782,0.09919420363804626,62.62939767837524
54,2,0.2,0.1,25,100,106,0.5340414615659457,0.09911522899194303,62.62939767837524
54,3,0.2,0.1,25,100,72,0.5920026656237771,0.09541070474555857,62.62939767837524
54,4,0.2,0.1,25,100,130,0.5686281478119386,0.08832949305823863,62.62939767837524
49,0,0.1,0.05,25,100,45,0.5679626289914065,0.1719018470102353,81.82205743789673
49,1,0.1,0.05,25,100,103,0.5689076824625581,0.11255081092615414,81.82205743789673
49,2,0.1,0.05,25,100,57,0.5400400200260754,0.11997228562921822,81.82205743789673
49,3,0.1,0.05,25,100,62,0.5771569726230363,0.12243646415908083,81.82205743789673
49,4,0.1,0.05,25,100,100,0.5678751903135566,0.08854927278091916,81.82205743789673
51,0,0.1,0.15,25,100,162,0.5989433407746497,0.08454563993524801,83.66782159805298
51,1,0.1,0.15,25,100,203,0.5895162415969363,0.09011594135787959,83.66782159805298
51,2,0.1,0.15,25,100,267,0.5483281592407835,0.05634948382496796,83.66782159805298
51,3,0.1,0.15,25,100,54,0.5953484820715201,0.11861160126241149,83.66782159805298
51,4,0.1,0.15,25,100,78,0.5600572958315589,0.12202900997504473,83.66782159805298
53,0,0.2,0.05,25,100,52,0.5654049888120489,0.14551071658189743,81.33292317390442
53,1,0.2,0.05,25,100,91,0.5957285430184067,0.09465840056077811,81.33292317390442
53,2,0.2,0.05,25,100,62,0.5669220556019633,0.1214804973004782,81.33292317390442
53,3,0.2,0.05,25,100,65,0.5655906099022533,0.11842098066641804,81.33292317390442
53,4,0.2,0.05,25,100,59,0.5756752835801318,0.13493259854977505,81.33292317390442
57,0,0.4,0.05,25,100,70,0.5900325698075938,0.09352338442473934,57.61390471458435
57,1,0.4,0.05,25,100,112,0.5885954086636926,0.0897926732287741,57.61390471458435
